"head","relation","tail"
"mondo.0011929","symptom","hpo.0001397"
"drugbank.DB00590","target","uniprot.P03956"
"mondo.0012883","associated","uniprot.Q7Z5L9"
"mondo.0019336","symptom","hpo.0003003"
"mondo.0013968","associated","uniprot.P36871"
"mondo.0011510","symptom","hpo.0000998"
"drugbank.DB00472","target","uniprot.Q7RTT9"
"mondo.0011772","symptom","hpo.0001622"
"mondo.0013808","associated","uniprot.O75874"
"mondo.0016396","associated","uniprot.Q06265"
"mondo.0009720","associated","uniprot.O75487"
"mondo.0007896","associated","uniprot.Q9NW38"
"mondo.0019200","associated","uniprot.Q9BXC9"
"mondo.0009830","associated","uniprot.Q9Y3I1"
"mondo.0014414","symptom","hpo.0006515"
"mondo.0013455","associated","uniprot.Q9NPC6"
"mondo.0018229","associated","uniprot.P35222"
"drugbank.DB01073","target","uniprot.P09884"
"mondo.0013791","symptom","hpo.0002638"
"mondo.0011490","associated","uniprot.Q3MIW9"
"mondo.0018321","associated","uniprot.O75061"
"mondo.0008943","symptom","hpo.0001310"
"mondo.0010854","symptom","hpo.0002326"
"drugbank.DB00485","SE","meddra.10050335"
"mondo.0009965","symptom","hpo.0002133"
"mondo.0013970","symptom","hpo.0000717"
"mondo.0011114","symptom","hpo.0001482"
"mondo.0013170","symptom","hpo.0002097"
"mondo.0008244","symptom","hpo.0002664"
"drugbank.DB00315","SE","meddra.10015461"
"drugbank.DB08873","SE","meddra.10020582"
"drugbank.DB01242","SE","meddra.10006578"
"mondo.0016006","associated","uniprot.Q13216"
"mondo.0011939","symptom","hpo.0001386"
"mondo.0010518","symptom","hpo.0100279"
"mondo.0008383","associated","uniprot.P15692"
"mondo.0018874","associated","uniprot.Q13761"
"drugbank.DB00367","target","uniprot.P04150"
"mondo.0018875","symptom","hpo.0100768"
"mondo.0013693","symptom","hpo.0001818"
"drugbank.DB00285","SE","meddra.10047302"
"drugbank.DB00215","SE","meddra.10033546"
"mondo.0013941","associated","uniprot.O75874"
"drugbank.DB00631","SE","meddra.10038687"
"mondo.0009732","associated","uniprot.O60500"
"mondo.0010264","associated","uniprot.Q13285"
"drugbank.DB00882","SE","meddra.10028980"
"drugbank.DB00612","target","uniprot.P08588"
"mondo.0013689","symptom","hpo.0008222"
"mondo.0013757","symptom","hpo.0001374"
"mondo.0018177","associated","uniprot.Q9UPN9"
"mondo.0009271","symptom","hpo.0100790"
"mondo.0014462","symptom","hpo.0000093"
"mondo.0018214","associated","uniprot.O60741"
"mondo.0015517","symptom","hpo.0002633"
"mondo.0010771","symptom","hpo.0003128"
"mondo.0007947","associated","uniprot.P04179"
"mondo.0009717","symptom","hpo.0000211"
"mondo.0005388","associated","uniprot.Q9UNQ0"
"mondo.0014728","symptom","hpo.0002072"
"mondo.0014678","associated","uniprot.Q9UL68"
"drugbank.DB00962","SE","meddra.10020582"
"drugbank.DB06626","target","uniprot.Q13043"
"mondo.0008383","associated","uniprot.P08887"
"mondo.0014561","symptom","hpo.0001266"
"drugbank.DB09389","target","uniprot.P04150"
"drugbank.DB01024","SE","meddra.10038695"
"drugbank.DB00688","SE","meddra.10034674"
"drugbank.DB00564","SE","meddra.10043570"
"drugbank.DB01068","target","uniprot.P18505"
"mondo.0014884","associated","uniprot.Q96RI1"
"drugbank.DB06616","target","uniprot.Q16288"
"mondo.0008436","symptom","hpo.0001888"
"drugbank.DB00740","SE","meddra.10022687"
"mondo.0007885","symptom","hpo.0001373"
"drugbank.DB00715","SE","meddra.10003285"
"drugbank.DB00310","target","uniprot.O43570"
"mondo.0008681","associated","uniprot.P26367"
"mondo.0009443","symptom","hpo.0000656"
"mondo.0007918","symptom","hpo.0004936"
"mondo.0014552","symptom","hpo.0000104"
"drugbank.DB00367","target","uniprot.P04278"
"mondo.0013594","symptom","hpo.0002607"
"mondo.0008854","symptom","hpo.0009806"
"mondo.0005197","symptom","hpo.0001695"
"drugbank.DB00270","SE","meddra.10036142"
"drugbank.DB00230","SE","meddra.10028537"
"mondo.0014533","symptom","hpo.0000546"
"mondo.0009830","associated","uniprot.P37840"
"mondo.0016698","associated","uniprot.Q96K58"
"drugbank.DB00425","SE","meddra.10033546"
"mondo.0008383","associated","uniprot.P10747"
"mondo.0009070","symptom","hpo.0001298"
"drugbank.DB00273","target","uniprot.P18507"
"drugbank.DB00316","SE","meddra.10003639"
"drugbank.DB09276","target","uniprot.P0DMS8"
"drugbank.DB01175","SE","meddra.10034010"
"drugbank.DB00422","target","uniprot.Q01959"
"mondo.0009571","associated","uniprot.Q96KN7"
"drugbank.DB06201","target","uniprot.P35498"
"drugbank.DB00307","SE","meddra.10020949"
"mondo.0019019","symptom","hpo.0000787"
"mondo.0007864","symptom","hpo.0100658"
"drugbank.DB00963","SE","meddra.10011039"
"drugbank.DB00796","SE","meddra.10062352"
"mondo.0011252","symptom","hpo.0001433"
"mondo.0011382","associated","uniprot.P19320"
"drugbank.DB00230","SE","meddra.10009887"
"mondo.0009281","symptom","hpo.0001946"
"drugbank.DB00552","target","uniprot.P00813"
"mondo.0019353","associated","uniprot.P78363"
"drugbank.DB01182","target","uniprot.Q9NY72"
"drugbank.DB13919","SE","meddra.10020907"
"mondo.0009723","symptom","hpo.0003128"
"mondo.0009337","symptom","hpo.0001055"
"mondo.0007768","symptom","hpo.0002150"
"mondo.0008876","symptom","hpo.0002878"
"mondo.0018053","symptom","hpo.0001097"
"drugbank.DB01136","target","uniprot.P28335"
"mondo.0019454","symptom","hpo.0004808"
"mondo.0016988","symptom","hpo.0003076"
"mondo.0009046","symptom","hpo.0000618"
"drugbank.DB01142","SE","meddra.10053571"
"drugbank.DB01242","SE","meddra.10038923"
"drugbank.DB01001","SE","meddra.10028521"
"drugbank.DB00244","SE","meddra.10015000"
"mondo.0014284","symptom","hpo.0001952"
"mondo.0009026","symptom","hpo.0002878"
"drugbank.DB01101","SE","meddra.10020587"
"drugbank.DB00661","target","uniprot.P08183"
"mondo.0009723","associated","uniprot.O15239"
"mondo.0009901","symptom","hpo.0002023"
"mondo.0006248","symptom","hpo.0005268"
"drugbank.DB00975","SE","meddra.10037375"
"drugbank.DB01590","SE","meddra.10034474"
"mondo.0010108","symptom","hpo.0100768"
"mondo.0014575","associated","uniprot.O95786"
"mondo.0013834","symptom","hpo.0001009"
"mondo.0019200","associated","uniprot.O14926"
"mondo.0008487","associated","uniprot.Q71RC2"
"drugbank.DB05351","target","uniprot.P20648"
"drugbank.DB00864","SE","meddra.10021059"
"drugbank.DB01050","target","uniprot.P52895"
"drugbank.DB01110","target","uniprot.P41145"
"drugbank.DB00631","target","uniprot.P23921"
"drugbank.DB01080","SE","meddra.10033546"
"mondo.0018997","associated","uniprot.P15056"
"mondo.0013661","symptom","hpo.0001941"
"drugbank.DB08873","SE","meddra.10055548"
"mondo.0014275","symptom","hpo.0003076"
"drugbank.DB00285","target","uniprot.Q01959"
"drugbank.DB01043","SE","meddra.10042458"
"mondo.0019107","symptom","hpo.0002789"
"drugbank.DB00619","target","uniprot.P51451"
"drugbank.DB08912","SE","meddra.10029410"
"mondo.0012335","associated","uniprot.P01189"
"drugbank.DB06616","target","uniprot.P48729"
"drugbank.DB01100","target","uniprot.Q9P0X4"
"drugbank.DB01008","SE","meddra.10021028"
"mondo.0015263","associated","uniprot.Q9Y3Q4"
"mondo.0009992","symptom","hpo.0002153"
"drugbank.DB00619","SE","meddra.10054541"
"drugbank.DB01142","target","uniprot.P23975"
"mondo.0009297","symptom","hpo.0000124"
"mondo.0015012","symptom","hpo.0008807"
"mondo.0005580","associated","uniprot.P48431"
"mondo.0012794","symptom","hpo.0000995"
"drugbank.DB01041","SE","meddra.10001927"
"mondo.0013589","symptom","hpo.0000100"
"mondo.0007041","symptom","hpo.0000126"
"mondo.0008554","associated","uniprot.P40225"
"drugbank.DB01167","target","uniprot.P07550"
"mondo.0019350","symptom","hpo.0001081"
"mondo.0008995","symptom","hpo.0030816"
"mondo.0007739","associated","uniprot.P21554"
"mondo.0024554","associated","uniprot.P48735"
"mondo.0010820","associated","uniprot.Q5S007"
"drugbank.DB01008","SE","meddra.10022618"
"mondo.0009153","associated","uniprot.Q6UY14"
"drugbank.DB06616","target","uniprot.Q8WU08"
"mondo.0013556","symptom","hpo.0000132"
"mondo.0010349","symptom","hpo.0001007"
"mondo.0007267","symptom","hpo.0001645"
"mondo.0011652","symptom","hpo.0000126"
"drugbank.DB00619","SE","meddra.10020907"
"drugbank.DB01268","target","uniprot.Q9UEW8"
"mondo.0009214","symptom","hpo.0000104"
"drugbank.DB00708","SE","meddra.10040558"
"drugbank.DB00715","SE","meddra.10006514"
"mondo.0012081","associated","uniprot.Q05086"
"mondo.0007739","associated","uniprot.P17677"
"mondo.0014513","symptom","hpo.0000602"
"mondo.0004976","symptom","hpo.0003470"
"mondo.0009294","symptom","hpo.0002149"
"mondo.0008434","associated","uniprot.Q13045"
"mondo.0011719","symptom","hpo.0005214"
"mondo.0010006","associated","uniprot.P07686"
"drugbank.DB00317","target","uniprot.P29322"
"mondo.0006292","associated","uniprot.P19544"
"mondo.0014158","associated","uniprot.Q68DC2"
"drugbank.DB00472","SE","meddra.10019252"
"drugbank.DB00802","SE","meddra.10013916"
"mondo.0013306","symptom","hpo.0002590"
"mondo.0014756","symptom","hpo.0002067"
"mondo.0011925","symptom","hpo.0100614"
"mondo.0010150","associated","uniprot.P11802"
"drugbank.DB00268","target","uniprot.P28221"
"mondo.0014609","associated","uniprot.Q9UHB7"
"mondo.0010898","associated","uniprot.P78509"
"mondo.0009039","associated","uniprot.O94761"
"mondo.0007908","associated","uniprot.O95140"
"mondo.0015452","associated","uniprot.Q12824"
"mondo.0010469","symptom","hpo.0000717"
"mondo.0014353","symptom","hpo.0004789"
"drugbank.DB08912","SE","meddra.10033713"
"mondo.0008031","symptom","hpo.0010628"
"drugbank.DB01208","SE","meddra.10041823"
"mondo.0008221","symptom","hpo.0200034"
"mondo.0015780","symptom","hpo.0002665"
"drugbank.DB00335","SE","meddra.10003662"
"mondo.0014720","symptom","hpo.0001638"
"drugbank.DB00996","SE","meddra.10037596"
"mondo.0007959","associated","uniprot.O15169"
"drugbank.DB00408","target","uniprot.P35367"
"mondo.0005580","associated","uniprot.P14415"
"mondo.0017380","symptom","hpo.0030049"
"mondo.0009737","symptom","hpo.0001028"
"mondo.0014822","symptom","hpo.0410030"
"mondo.0015280","associated","uniprot.P20936"
"drugbank.DB00341","target","uniprot.Q12809"
"mondo.0018612","associated","uniprot.P28069"
"drugbank.DB00328","target","uniprot.P52895"
"mondo.0018309","associated","uniprot.P56693"
"drugbank.DB00882","SE","meddra.10030942"
"mondo.0014414","symptom","hpo.0000823"
"drugbank.DB01268","target","uniprot.Q13554"
"drugbank.DB01165","SE","meddra.10044066"
"mondo.0011835","associated","uniprot.Q96RR1"
"drugbank.DB00697","SE","meddra.10043563"
"drugbank.DB00633","SE","meddra.10021139"
"mondo.0008660","symptom","hpo.0001891"
"drugbank.DB01179","target","uniprot.Q9BQE3"
"drugbank.DB00530","target","uniprot.O94804"
"drugbank.DB01039","target","uniprot.Q01959"
"drugbank.DB00503","target","uniprot.P11712"
"mondo.0011264","associated","uniprot.Q9NVV9"
"drugbank.DB00373","SE","meddra.10023891"
"mondo.0009655","symptom","hpo.0000752"
"mondo.0013518","associated","uniprot.P32243"
"drugbank.DB14208","SE","meddra.10037032"
"drugbank.DB00193","SE","meddra.10039073"
"mondo.0008383","associated","uniprot.P25106"
"drugbank.DB04868","SE","meddra.10029410"
"mondo.0005580","associated","uniprot.Q9P212"
"mondo.0014955","associated","uniprot.Q8NDN9"
"mondo.0005029","symptom","hpo.0004420"
"mondo.0009889","symptom","hpo.0002878"
"drugbank.DB00843","SE","meddra.10019493"
"mondo.0018969","associated","uniprot.P04141"
"drugbank.DB01198","SE","meddra.10017822"
"mondo.0000908","symptom","hpo.0011713"
"mondo.0011579","associated","uniprot.Q9BXJ0"
"drugbank.DB06616","target","uniprot.Q13131"
"mondo.0018938","symptom","hpo.0100790"
"drugbank.DB00235","SE","meddra.10047290"
"mondo.0007620","symptom","hpo.0002155"
"mondo.0010176","associated","uniprot.Q6NUS6"
"mondo.0015517","associated","uniprot.P16410"
"mondo.0016657","symptom","hpo.0000027"
"drugbank.DB06616","target","uniprot.P43405"
"mondo.0010108","associated","uniprot.P22607"
"drugbank.DB00624","SE","meddra.10007515"
"mondo.0011922","associated","uniprot.Q99684"
"mondo.0011285","associated","uniprot.P02649"
"mondo.0014943","associated","uniprot.Q00059"
"mondo.0013475","associated","uniprot.P26678"
"drugbank.DB00242","SE","meddra.10064890"
"drugbank.DB06202","SE","meddra.10029410"
"mondo.0013174","associated","uniprot.Q8NEP3"
"mondo.0017844","associated","uniprot.Q6N021"
"mondo.0014857","symptom","hpo.0001385"
"drugbank.DB01186","SE","meddra.10006002"
"mondo.0011902","associated","uniprot.P07196"
"mondo.0008943","associated","uniprot.Q10713"
"mondo.0009660","symptom","hpo.0001385"
"mondo.0014602","symptom","hpo.0001374"
"mondo.0014054","symptom","hpo.0001433"
"mondo.0009934","symptom","hpo.0001539"
"mondo.0014048","symptom","hpo.0000853"
"drugbank.DB00543","target","uniprot.P35367"
"mondo.0013818","associated","uniprot.Q15477"
"mondo.0014028","associated","uniprot.O95672"
"mondo.0016396","associated","uniprot.Q7Z6J9"
"mondo.0014561","symptom","hpo.0002107"
"mondo.0018875","symptom","hpo.0003002"
"mondo.0019266","symptom","hpo.0002653"
"mondo.0016264","associated","uniprot.P01579"
"mondo.0008830","symptom","hpo.0001387"
"drugbank.DB01025","target","uniprot.Q08493"
"mondo.0008763","symptom","hpo.0000099"
"mondo.0019186","symptom","hpo.0001082"
"drugbank.DB01268","SE","meddra.10015068"
"drugbank.DB00993","target","uniprot.Q9UNQ0"
"drugbank.DB00564","target","uniprot.P35499"
"drugbank.DB01149","SE","meddra.10034341"
"mondo.0010159","associated","uniprot.P25054"
"mondo.0008061","symptom","hpo.0000563"
"mondo.0011403","symptom","hpo.0001653"
"mondo.0009341","symptom","hpo.0000876"
"drugbank.DB00555","target","uniprot.Q9NY46"
"drugbank.DB00715","SE","meddra.10014129"
"mondo.0014823","symptom","hpo.0000717"
"drugbank.DB01268","target","uniprot.P07949"
"mondo.0007688","associated","uniprot.Q13485"
"drugbank.DB00688","SE","meddra.10027162"
"drugbank.DB00317","target","uniprot.O94768"
"drugbank.DB00268","SE","meddra.10012267"
"mondo.0014563","symptom","hpo.0002104"
"mondo.0009696","associated","uniprot.Q9UPZ9"
"drugbank.DB00669","SE","meddra.10019252"
"mondo.0100130","associated","uniprot.P26447"
"mondo.0015452","associated","uniprot.P28370"
"mondo.0009479","symptom","hpo.0002023"
"mondo.0010264","symptom","hpo.0000798"
"mondo.0007404","associated","uniprot.O14746"
"drugbank.DB05294","SE","meddra.10038695"
"mondo.0011273","symptom","hpo.0000141"
"drugbank.DB00783","SE","meddra.10033132"
"mondo.0014421","symptom","hpo.0200114"
"mondo.0014877","symptom","hpo.0010628"
"mondo.0012923","symptom","hpo.0001007"
"mondo.0009072","associated","uniprot.P14543"
"mondo.0008119","associated","uniprot.Q12948"
"mondo.0010645","symptom","hpo.0003124"
"mondo.0009748","associated","uniprot.P48643"
"drugbank.DB00530","target","uniprot.P45984"
"mondo.0100130","associated","uniprot.P24592"
"drugbank.DB00285","SE","meddra.10027162"
"mondo.0006292","symptom","hpo.0002098"
"mondo.0019569","associated","uniprot.Q03468"
"mondo.0014751","symptom","hpo.0000998"
"drugbank.DB00193","SE","meddra.10033546"
"mondo.0010448","symptom","hpo.0001342"
"drugbank.DB00906","SE","meddra.10040943"
"mondo.0013468","symptom","hpo.0011505"
"drugbank.DB00316","target","uniprot.Q8NER1"
"mondo.0013563","symptom","hpo.0000498"
"mondo.0013690","symptom","hpo.0002883"
"drugbank.DB00341","SE","meddra.10033078"
"drugbank.DB14213","target","uniprot.P12821"
"mondo.0010626","symptom","hpo.0001287"
"drugbank.DB00949","SE","meddra.10024378"
"mondo.0018907","symptom","hpo.0002637"
"drugbank.DB13919","target","uniprot.P23975"
"mondo.0006292","associated","uniprot.P28908"
"mondo.0009061","symptom","hpo.0002570"
"drugbank.DB00843","SE","meddra.10002948"
"mondo.0007804","symptom","hpo.0000126"
"mondo.0012052","symptom","hpo.0002878"
"mondo.0012312","associated","uniprot.P54289"
"drugbank.DB00310","target","uniprot.P07451"
"mondo.0010176","associated","uniprot.Q96BN6"
"mondo.0011638","symptom","hpo.0002072"
"drugbank.DB01142","SE","meddra.10011283"
"mondo.0012429","associated","uniprot.Q9BYX4"
"mondo.0002441","associated","uniprot.P15382"
"drugbank.DB01156","SE","meddra.10013916"
"drugbank.DB00398","SE","meddra.10013952"
"mondo.0018874","associated","uniprot.P32249"
"mondo.0011719","associated","uniprot.P06400"
"mondo.0014126","symptom","hpo.0000876"
"drugbank.DB01175","SE","meddra.10047001"
"mondo.0013993","symptom","hpo.0002179"
"drugbank.DB06626","target","uniprot.Q08345"
"drugbank.DB00528","target","uniprot.Q13936"
"mondo.0009610","symptom","hpo.0000726"
"mondo.0010159","associated","uniprot.P54278"
"drugbank.DB00813","SE","meddra.10038687"
"mondo.0012596","associated","uniprot.Q9Y617"
"drugbank.DB06589","target","uniprot.P11362"
"mondo.0014081","associated","uniprot.Q9BXL7"
"mondo.0008542","associated","uniprot.Q12948"
"drugbank.DB01273","SE","meddra.10029148"
"drugbank.DB06207","target","uniprot.P35368"
"mondo.0007318","symptom","hpo.0000823"
"drugbank.DB01165","target","uniprot.P47869"
"mondo.0010914","symptom","hpo.0004756"
"mondo.0008457","associated","uniprot.Q69YN2"
"mondo.0014010","associated","uniprot.Q8IU89"
"mondo.0014718","symptom","hpo.0002133"
"mondo.0010848","associated","uniprot.Q12948"
"mondo.0002474","symptom","hpo.0001638"
"drugbank.DB00317","target","uniprot.P15735"
"mondo.0009722","symptom","hpo.0001883"
"mondo.0013404","symptom","hpo.0002878"
"drugbank.DB06202","SE","meddra.10008957"
"mondo.0015279","symptom","hpo.0200034"
"drugbank.DB00661","target","uniprot.P31645"
"mondo.0011835","symptom","hpo.0001310"
"drugbank.DB06626","target","uniprot.P35590"
"mondo.0014148","symptom","hpo.0000147"
"mondo.0018177","associated","uniprot.Q9UBE8"
"mondo.0010859","symptom","hpo.0011705"
"drugbank.DB01267","target","uniprot.P28222"
"mondo.0008853","associated","uniprot.P07359"
"mondo.0007601","associated","uniprot.O15553"
"mondo.0014037","symptom","hpo.0000798"
"mondo.0019037","associated","uniprot.Q13875"
"mondo.0009724","symptom","hpo.0000093"
"mondo.0010196","symptom","hpo.0002155"
"mondo.0009109","symptom","hpo.0000099"
"mondo.0010200","symptom","hpo.0001259"
"mondo.0015020","associated","uniprot.P29218"
"drugbank.DB00480","SE","meddra.10030901"
"mondo.0011915","symptom","hpo.0001653"
"mondo.0018874","associated","uniprot.O95425"
"mondo.0010474","symptom","hpo.0001714"
"mondo.0011732","associated","uniprot.Q9HBA0"
"mondo.0013599","symptom","hpo.0012203"
"mondo.0024523","associated","uniprot.P52952"
"mondo.0013578","symptom","hpo.0001562"
"mondo.0010150","associated","uniprot.P40763"
"drugbank.DB01268","target","uniprot.Q96SB4"
"mondo.0009909","symptom","hpo.0008222"
"mondo.0008723","symptom","hpo.0003552"
"mondo.0013509","symptom","hpo.0100660"
"drugbank.DB00975","target","uniprot.Q7RTT9"
"drugbank.DB06605","SE","meddra.10018276"
"mondo.0010759","associated","uniprot.Q99593"
"drugbank.DB05039","SE","meddra.10039100"
"drugbank.DB00740","SE","meddra.10020971"
"drugbank.DB00316","SE","meddra.10004446"
"mondo.0009502","symptom","hpo.0002307"
"mondo.0009650","symptom","hpo.0001609"
"drugbank.DB01268","target","uniprot.Q86UE8"
"drugbank.DB00679","target","uniprot.P08172"
"mondo.0009479","symptom","hpo.0012050"
"drugbank.DB00996","SE","meddra.10005169"
"mondo.0013721","symptom","hpo.0002725"
"mondo.0011309","symptom","hpo.0000752"
"drugbank.DB00964","target","uniprot.P35348"
"mondo.0008006","symptom","hpo.0007957"
"mondo.0019260","symptom","hpo.0000726"
"mondo.0018874","associated","uniprot.Q99062"
"drugbank.DB08865","target","uniprot.Q08345"
"drugbank.DB00996","SE","meddra.10002241"
"mondo.0018996","associated","uniprot.Q8WYR1"
"mondo.0013675","symptom","hpo.0002789"
"drugbank.DB00972","target","uniprot.P35348"
"mondo.0014058","symptom","hpo.0002653"
"mondo.0010650","associated","uniprot.Q9HBA0"
"mondo.0012718","symptom","hpo.0001541"
"mondo.0008487","associated","uniprot.P14635"
"drugbank.DB04868","target","uniprot.P00519"
"mondo.0018088","symptom","hpo.0001541"
"mondo.0009339","symptom","hpo.0002904"
"mondo.0016033","associated","uniprot.Q03164"
"mondo.0008708","symptom","hpo.0002023"
"mondo.0005029","symptom","hpo.0002488"
"drugbank.DB01083","SE","meddra.10034206"
"drugbank.DB00967","target","uniprot.P41595"
"mondo.0007037","symptom","hpo.0001788"
"mondo.0009861","associated","uniprot.P09417"
"mondo.0005711","associated","uniprot.P40763"
"mondo.0011407","symptom","hpo.0010628"
"mondo.0009691","symptom","hpo.0200042"
"mondo.0014238","associated","uniprot.Q6NXR4"
"mondo.0008310","symptom","hpo.0002875"
"mondo.0016820","associated","uniprot.O95613"
"drugbank.DB00755","SE","meddra.10020622"
"drugbank.DB00709","SE","meddra.10062352"
"drugbank.DB00285","SE","meddra.10018473"
"mondo.0016264","associated","uniprot.P09341"
"mondo.0007488","associated","uniprot.P05305"
"mondo.0006292","associated","uniprot.Q8WY41"
"mondo.0016830","symptom","hpo.0001645"
"drugbank.DB01179","target","uniprot.P68363"
"drugbank.DB00211","target","uniprot.P35348"
"mondo.0014630","symptom","hpo.0006725"
"mondo.0007793","associated","uniprot.P22607"
"mondo.0007435","symptom","hpo.0001266"
"mondo.0017851","associated","uniprot.O75712"
"mondo.0010382","symptom","hpo.0012534"
"mondo.0013195","symptom","hpo.0012250"
"drugbank.DB00906","SE","meddra.10033072"
"mondo.0011624","symptom","hpo.0001433"
"drugbank.DB00399","SE","meddra.10022941"
"mondo.0018177","associated","uniprot.Q96AG4"
"mondo.0013334","associated","uniprot.O15111"
"drugbank.DB00465","SE","meddra.10016750"
"mondo.0012624","symptom","hpo.0002181"
"drugbank.DB00811","target","uniprot.P20839"
"mondo.0010854","associated","uniprot.P01116"
"mondo.0014460","associated","uniprot.Q6ISB3"
"drugbank.DB08865","target","uniprot.P43403"
"mondo.0009485","symptom","hpo.0001680"
"mondo.0003582","associated","uniprot.P51587"
"mondo.0018177","associated","uniprot.P04080"
"mondo.0015263","associated","uniprot.Q99996"
"mondo.0011243","symptom","hpo.0001920"
"drugbank.DB00864","SE","meddra.10019468"
"drugbank.DB08875","SE","meddra.10013952"
"mondo.0009668","symptom","hpo.0001373"
"mondo.0011895","symptom","hpo.0002098"
"drugbank.DB00656","target","uniprot.P21917"
"mondo.0014931","symptom","hpo.0000752"
"mondo.0009901","symptom","hpo.0000298"
"drugbank.DB00929","SE","meddra.10036142"
"drugbank.DB06626","target","uniprot.P51451"
"drugbank.DB00490","target","uniprot.Q86VL8"
"mondo.0012089","associated","uniprot.Q6P1M0"
"mondo.0019625","associated","uniprot.P35749"
"drugbank.DB00934","target","uniprot.Q06278"
"mondo.0018940","associated","uniprot.P07510"
"drugbank.DB00590","target","uniprot.P41595"
"mondo.0007893","associated","uniprot.Q8WUF5"
"drugbank.DB00715","SE","meddra.10020558"
"mondo.0010680","symptom","hpo.0009125"
"mondo.0013619","symptom","hpo.0000097"
"drugbank.DB00287","SE","meddra.10039729"
"mondo.0014217","symptom","hpo.0001009"
"drugbank.DB01220","SE","meddra.10003639"
"drugbank.DB00619","target","uniprot.Q16832"
"mondo.0014556","symptom","hpo.0002307"
"mondo.0014908","symptom","hpo.0000104"
"mondo.0007576","associated","uniprot.P35228"
"drugbank.DB08865","target","uniprot.Q16620"
"drugbank.DB01175","SE","meddra.10019692"
"drugbank.DB00661","target","uniprot.Q13698"
"mondo.0012611","symptom","hpo.0002307"
"drugbank.DB00459","SE","meddra.10015461"
"drugbank.DB01129","SE","meddra.10012218"
"mondo.0008763","symptom","hpo.0000012"
"drugbank.DB01273","SE","meddra.10028521"
"mondo.0019514","associated","uniprot.Q16625"
"drugbank.DB00481","target","uniprot.P06241"
"mondo.0100213","symptom","hpo.0000491"
"mondo.0011537","associated","uniprot.Q14CZ8"
"mondo.0007191","associated","uniprot.O43908"
"mondo.0017160","associated","uniprot.Q9UQN3"
"drugbank.DB00252","SE","meddra.10003662"
"drugbank.DB01268","target","uniprot.P36888"
"mondo.0013402","associated","uniprot.P54845"
"mondo.0010561","symptom","hpo.0000139"
"mondo.0013925","associated","uniprot.O14678"
"mondo.0100213","symptom","hpo.0200020"
"drugbank.DB00193","SE","meddra.10040752"
"drugbank.DB00808","SE","meddra.10040741"
"drugbank.DB06616","target","uniprot.P45985"
"mondo.0014699","associated","uniprot.O00548"
"mondo.0017373","symptom","hpo.0003470"
"drugbank.DB00323","SE","meddra.10021021"
"mondo.0018824","symptom","hpo.0100614"
"mondo.0010848","associated","uniprot.Q99700"
"mondo.0008016","associated","uniprot.P13535"
"mondo.0018031","associated","uniprot.P04637"
"mondo.0018874","associated","uniprot.P06748"
"drugbank.DB00230","SE","meddra.10033799"
"mondo.0008815","associated","uniprot.P04424"
"mondo.0010680","symptom","hpo.0001678"
"mondo.0100130","associated","uniprot.P06702"
"mondo.0012136","symptom","hpo.0012722"
"mondo.0013453","associated","uniprot.P82279"
"mondo.0018227","symptom","hpo.0002105"
"mondo.0010664","symptom","hpo.0002317"
"mondo.0007576","associated","uniprot.P08581"
"mondo.0008876","symptom","hpo.0002664"
"mondo.0012041","associated","uniprot.Q9UIF7"
"mondo.0006292","associated","uniprot.P14174"
"mondo.0010310","symptom","hpo.0010628"
"drugbank.DB06616","target","uniprot.Q13188"
"mondo.0016333","associated","uniprot.Q15573"
"mondo.0011925","symptom","hpo.0000602"
"mondo.0011506","associated","uniprot.Q9Y4G8"
"mondo.0012160","symptom","hpo.0001387"
"mondo.0018177","associated","uniprot.P01040"
"drugbank.DB01142","SE","meddra.10020670"
"mondo.0007959","associated","uniprot.Q9UQR0"
"mondo.0013819","associated","uniprot.O14497"
"drugbank.DB00882","SE","meddra.10009805"
"mondo.0005580","associated","uniprot.P11509"
"drugbank.DB01224","SE","meddra.10042043"
"mondo.0008383","associated","uniprot.P06733"
"mondo.0013578","symptom","hpo.0001650"
"mondo.0018940","associated","uniprot.P60880"
"drugbank.DB00402","SE","meddra.10033078"
"mondo.0001187","associated","uniprot.Q00597"
"drugbank.DB00301","target","uniprot.P14780"
"drugbank.DB00967","target","uniprot.P28335"
"drugbank.DB01186","SE","meddra.10015461"
"mondo.0009785","associated","uniprot.O15357"
"mondo.0009532","associated","uniprot.P51587"
"drugbank.DB00715","SE","meddra.10006100"
"mondo.0005580","associated","uniprot.P00918"
"drugbank.DB00962","SE","meddra.10012260"
"mondo.0002474","symptom","hpo.0004417"
"mondo.0013220","associated","uniprot.P81172"
"mondo.0007191","symptom","hpo.0012424"
"drugbank.DB01394","SE","meddra.10049195"
"drugbank.DB00408","SE","meddra.10030071"
"mondo.0017380","associated","uniprot.P60484"
"mondo.0012497","associated","uniprot.P11488"
"mondo.0011600","associated","uniprot.Q04844"
"mondo.0011085","symptom","hpo.0002317"
"mondo.0010752","symptom","hpo.0002575"
"drugbank.DB01240","target","uniprot.P43119"
"mondo.0011996","associated","uniprot.Q9HBU6"
"mondo.0014412","symptom","hpo.0002155"
"mondo.0009528","symptom","hpo.0002570"
"mondo.0019201","symptom","hpo.0001663"
"mondo.0011075","associated","uniprot.O43395"
"drugbank.DB00995","target","uniprot.P08913"
"mondo.0100213","symptom","hpo.0000126"
